COG0067	22	51	38	43	98	54	30	59	62
COG0068	14	18	15	25	25	16	13	14	13
COG0069	47	85	49	69	135	83	45	90	109
COG0070	20	35	30	20	72	36	28	35	53
COG0071	45	76	52	63	130	81	53	94	78
COG0072	109	213	189	230	349	247	177	272	195
COG0073	48	56	69	90	141	87	61	118	93
COG0074	7	14	14	17	8	10	11	9	10
COG0075	30	46	29	35	66	48	25	44	38
COG0076	14	24	17	16	20	18	18	18	24
COG0077	48	108	91	101	158	122	61	104	90
COG0078	95	129	114	130	247	157	89	141	166
COG0079	97	160	149	156	291	194	118	205	244
COG0080	63	113	85	104	162	116	97	131	92
COG0081	65	132	100	131	173	138	97	139	122
COG0082	81	116	132	145	220	174	102	156	152
COG0083	6	14	14	19	26	14	8	11	15
COG0084	120	202	149	189	246	208	158	230	188
COG0085	183	335	293	363	527	416	265	519	336
COG0086	198	281	232	293	458	351	215	414	273
COG0087	66	123	102	118	164	139	106	135	110
COG0088	59	126	90	109	183	142	100	153	127
COG0089	55	101	67	90	138	109	73	109	90
COG0090	73	144	113	135	205	161	111	164	136
COG0091	55	95	83	96	146	114	77	116	86
COG0092	70	130	95	125	185	146	93	149	108
COG0093	56	115	76	102	148	117	81	124	94
COG0094	69	134	110	117	166	149	83	143	107
COG0095	28	44	45	40	65	43	40	48	49
COG0096	59	114	94	114	162	131	91	125	103
COG0097	62	123	102	114	160	126	105	152	104
COG0098	59	114	90	109	160	137	83	129	103
COG0099	53	106	85	94	143	120	83	115	90
COG0100	57	108	87	87	139	105	84	119	94
COG0101	84	154	119	146	234	183	107	187	180
COG0102	60	115	90	106	149	121	92	133	104
COG0103	55	105	75	98	147	118	83	132	96
COG0104	92	145	143	169	266	187	118	177	154
COG0105	39	49	41	47	48	49	53	55	26
COG0106	43	63	54	62	120	80	37	77	93
COG0107	36	71	67	61	144	91	46	89	99
COG0108	44	70	55	62	59	61	48	56	50
COG0110	268	467	360	369	546	464	302	458	365
COG0111	123	220	217	250	308	229	151	265	310
COG0112	92	162	133	136	231	181	117	159	144
COG0113	10	20	18	25	35	25	13	27	44
COG0114	4	16	28	28	40	36	14	24	28
COG0115	92	143	139	167	219	156	113	154	157
COG0116	58	98	115	109	193	133	79	121	135
COG0117	36	49	43	56	45	58	46	52	38
COG0118	37	54	64	60	129	85	39	75	92
COG0119	86	180	153	151	345	213	110	219	195
COG0120	5	8	7	7	7	10	5	7	7
COG0121	2	1	0	1	2	3	1	1	3
COG0122	10	33	22	15	54	42	20	43	45
COG0123	13	8	5	5	3	4	5	20	2
COG0124	91	179	162	179	296	194	130	236	174
COG0125	22	59	66	58	89	75	66	91	56
COG0126	94	165	160	190	285	193	139	226	176
COG0127	60	143	108	104	193	131	97	154	129
COG0128	74	126	149	146	238	173	97	178	161
COG0129	92	153	156	160	312	211	117	212	259
COG0130	69	130	106	127	185	142	87	137	125
COG0131	35	63	59	49	129	78	35	65	74
COG0132	27	48	49	46	41	46	35	39	36
COG0133	44	63	40	38	97	81	34	89	73
COG0134	29	43	24	23	63	54	20	51	46
COG0135	27	44	25	20	55	45	14	50	45
COG0136	68	134	131	155	218	156	105	173	156
COG0137	64	104	92	91	174	148	67	133	127
COG0138	118	174	153	189	290	213	114	227	196
COG0139	33	50	39	35	86	54	27	49	60
COG0140	7	15	22	17	40	23	11	22	29
COG0141	54	70	91	69	181	116	51	112	104
COG0142	111	182	171	211	239	208	138	205	172
COG0143	108	193	181	207	312	228	153	254	191
COG0144	96	178	145	159	260	195	130	237	201
COG0145	2	14	12	14	17	15	15	16	42
COG0146	0	12	4	4	3	11	5	2	6
COG0147	39	67	30	44	90	76	34	74	71
COG0148	104	160	137	158	229	196	133	224	202
COG0149	84	136	114	134	211	173	104	167	149
COG0150	65	121	109	125	210	130	72	134	131
