,Class,Family
GT60,GT,GT60
AA15,AA,AA15
GH148,GH,GH148
GT81,GT,GT81
GH126,GH,GH126
GT50,GT,GT50
CBM64,CB,CBM64
GH46,GH,GH46
GT70,GT,GT70
CBM63,CB,CBM63
GH157,GH,GH157
CBM54,CB,CBM54
GH124,GH,GH124
CBM74,CB,CBM74
GH52,GH,GH52
GT47,GT,GT47
GT67,GT,GT67
PL3,PL,PL3
GH149,GH,GH149
CBM41,CB,CBM41
GT84,GT,GT84
GT38,GT,GT38
PL7,PL,PL7
CBM80,CB,CBM80
GT74,GT,GT74
CBM70,CB,CBM70
GH72,GH,GH72
AA9,AA,AA9
GT68,GT,GT68
CBM71,CB,CBM71
GH100,GH,GH100
CBM8,CB,CBM8
CBM53,CB,CBM53
GT42,GT,GT42
GH114,GH,GH114
CBM75,CB,CBM75
GH153,GH,GH153
CE5,CE,CE5
PL14,PL,PL14
GH17,GH,GH17
CBM79,CB,CBM79
GH11,GH,GH11
CE13,CE,CE13
GT103,GT,GT103
GT29,GT,GT29
CBM36,CB,CBM36
PL16,PL,PL16
CBM3,CB,CBM3
CBM68,CB,CBM68
CBM78,CB,CBM78
PL2,PL,PL2
GH48,GH,GH48
PL28,PL,PL28
CBM59,CB,CBM59
GH64,GH,GH64
CBM84,CB,CBM84
CBM76,CB,CBM76
GT58,GT,GT58
GT52,GT,GT52
GH118,GH,GH118
GH34,GH,GH34
AA12,AA,AA12
CBM28,CB,CBM28
GT61,GT,GT61
GT77,GT,GT77
GH12,GH,GH12
PL18,PL,PL18
GT85,GT,GT85
CBM43,CB,CBM43
GT93,GT,GT93
