"","cog.uniq"
"553","COG0577"
"554","COG0578"
"555","COG0579"
"556","COG0580"
"557","COG0581"
"558","COG0582"
"559","COG0583"
"560","COG0584"
"561","COG0586"
"562","COG0587"
"563","COG0588"
"564","COG0589"
"565","COG0590"
"566","COG0591"
"567","COG0592"
"568","COG0593"
"569","COG0594"
"570","COG0595"
"571","COG0596"
"572","COG0597"
"573","COG0598"
"574","COG0599"
"575","COG0600"
"576","COG0601"
"577","COG0602"
"578","COG0603"
"579","COG0604"
"580","COG0605"
"581","COG0606"
"582","COG0607"
"583","COG0608"
"584","COG0609"
"585","COG0610"
"586","COG0611"
"587","COG0612"
"588","COG0613"
"589","COG0614"
"590","COG0615"
"591","COG0616"
"592","COG0617"
"593","COG0618"
"594","COG0619"
"595","COG0620"
"596","COG0621"
"597","COG0622"
"598","COG0623"
"599","COG0624"
"600","COG0625"
"601","COG0626"
"602","COG0627"
"603","COG0628"
"604","COG0629"
"605","COG0630"
"606","COG0631"
"607","COG0632"
"608","COG0633"
"609","COG0634"
"610","COG0635"
"611","COG0636"
"612","COG0637"
"613","COG0638"
"614","COG0639"
"615","COG0640"
"616","COG0641"
"617","COG0642"
"618","COG0643"
"619","COG0644"
"620","COG0645"
"621","COG0646"
"622","COG0647"
"623","COG0648"
"624","COG0649"
"625","COG0650"
"626","COG0651"
"627","COG0652"
"628","COG0653"
"629","COG0654"
"630","COG0655"
"631","COG0656"
"632","COG0657"
"633","COG0658"
"634","COG0659"
"635","COG0661"
"636","COG0662"
"637","COG0663"
"638","COG0664"
"639","COG0665"
"640","COG0666"
"641","COG0667"
"642","COG0668"
"643","COG0669"
"644","COG0670"
"645","COG0671"
"646","COG0673"
"647","COG0674"
"648","COG0675"
"649","COG0676"
"650","COG0677"
"651","COG0679"
"652","COG0680"
"653","COG0681"
"654","COG0682"
"655","COG0683"
"656","COG0684"
"657","COG0685"
"658","COG0686"
"659","COG0687"
"660","COG0688"
"661","COG0689"
"662","COG0690"
"663","COG0691"
"664","COG0692"
"665","COG0693"
"666","COG0694"
"667","COG0695"
"668","COG0696"
"669","COG0697"
"670","COG0698"
"671","COG0699"
"672","COG0700"
"673","COG0701"
"674","COG0703"
"675","COG0704"
"676","COG0705"
"677","COG0706"
"678","COG0707"
"679","COG0708"
"680","COG0709"
"681","COG0710"
"682","COG0711"
"683","COG0712"
"684","COG0713"
"685","COG0714"
"686","COG0715"
"687","COG0716"
"688","COG0717"
"689","COG0718"
"690","COG0719"
"691","COG0720"
"692","COG0721"
"693","COG0722"
"694","COG0723"
"695","COG0724"
"696","COG0725"
"697","COG0726"
"698","COG0727"
"699","COG0728"
"700","COG0729"
"701","COG0730"
"702","COG0731"
"703","COG0732"
"704","COG0733"
"705","COG0735"
"706","COG0736"
"707","COG0737"
"708","COG0738"
"709","COG0739"
"710","COG0740"
"711","COG0741"
"712","COG0742"
"713","COG0743"
"714","COG0744"
"715","COG0745"
"716","COG0746"
"717","COG0747"
"718","COG0749"
"719","COG0750"
"720","COG0751"
"721","COG0752"
"722","COG0753"
"723","COG0755"
"724","COG0756"
"725","COG0757"
"726","COG0758"
"727","COG0759"
"728","COG0760"
"729","COG0761"
"730","COG0762"
"731","COG0763"
"732","COG0764"
"733","COG0765"
"734","COG0766"
"735","COG0767"
"736","COG0768"
"737","COG0769"
"738","COG0770"
"739","COG0771"
"740","COG0772"
"741","COG0773"
"742","COG0774"
"743","COG0775"
"744","COG0776"
"745","COG0777"
"746","COG0778"
"747","COG0779"
"748","COG0780"
"749","COG0781"
"750","COG0782"
"751","COG0783"
"752","COG0784"
"753","COG0785"
"754","COG0786"
"755","COG0787"
"756","COG0788"
"757","COG0789"
"758","COG0790"
"759","COG0791"
"760","COG0792"
"761","COG0793"
"762","COG0794"
"763","COG0795"
"764","COG0796"
"765","COG0797"
"766","COG0798"
"767","COG0799"
"768","COG0800"
"769","COG0801"
"770","COG0802"
"771","COG0803"
"772","COG0804"
"773","COG0805"
"774","COG0806"
"775","COG0807"
"776","COG0809"
"777","COG0810"
"778","COG0811"
"779","COG0812"
"780","COG0813"
"781","COG0814"
"782","COG0815"
"783","COG0816"
"784","COG0817"
"785","COG0818"
"786","COG0819"
"787","COG0820"
"788","COG0821"
"789","COG0822"
"790","COG0823"
"791","COG0824"
"792","COG0825"
"793","COG0826"
"794","COG0827"
"795","COG0828"
"796","COG0829"
"797","COG0830"
"798","COG0831"
"799","COG0832"
"800","COG0833"
"801","COG0834"
"802","COG0835"
"803","COG0836"
"804","COG0837"
"805","COG0838"
"806","COG0839"
"807","COG0840"
"808","COG0841"
"809","COG0842"
"810","COG0845"
"811","COG0846"
"812","COG0847"
"813","COG0848"
"814","COG0849"
"815","COG0850"
"816","COG0851"
"817","COG0852"
"818","COG0853"
"819","COG0854"
"820","COG0855"
"821","COG0858"
"822","COG0859"
"823","COG0860"
"824","COG0861"
"825","COG0863"
"826","COG0864"
"827","COG1001"
"828","COG1002"
"829","COG1003"
"830","COG1004"
"831","COG1005"
"832","COG1006"
